,вакансия,ЗП мин,ЗП макс,сайт,ссылка на вакансию
1,Уборщик помещений,25000,30000,SJ,/vakansii/uborschik-pomeschenij-32579598.html
2,Уборщик,17000,40000,SJ,/vakansii/uborschik-32441162.html
3,Уборщик служебных помещений,15660,нет информации,SJ,/vakansii/uborschik-sluzhebnyh-pomeschenij-31299311.html
4,Уборщик,25000,нет информации,SJ,/vakansii/uborschik-30716942.html
5,Уборщик фастфуда,40000,нет информации,SJ,/vakansii/uborschik-fastfuda-31435490.html
6,Уборщик помещений,27000,нет информации,SJ,/vakansii/uborschik-pomeschenij-32103690.html
7,Уборщик / Уборщица (м. Ленинский пр-т),15660,нет информации,SJ,/vakansii/uborschik-31915933.html
8,Мобильный уборщик,33000,37000,SJ,/vakansii/mobilnyj-uborschik-32398832.html
9,Уборщица / Уборщик депо метрополитена,23000,нет информации,SJ,/vakansii/uborschica-32259946.html
10,Мойщик-уборщик / Мойщица-уброщица (м. Гражданский проспект),28000,нет информации,SJ,/vakansii/mojschik-uborschik-32002115.html
11,Уборщик помещений (г. Кронштадт),15000,нет информации,SJ,/vakansii/uborschik-pomeschenij-32578823.html
12,Уборщик территории,25000,нет информации,SJ,/vakansii/uborschik-territorii-32521476.html
13,Уборщик территории,18000,нет информации,SJ,/vakansii/uborschik-territorii-32311086.html
14,Уборщик,15000,30000,SJ,/vakansii/uborschik-32440536.html
15,Уборщик служебных помещений,32000,нет информации,SJ,/vakansii/uborschik-sluzhebnyh-pomeschenij-32533058.html
16,Уборщик в магазин,30000,34000,SJ,/vakansii/uborschik-v-magazin-32398637.html
17,Уборщик офисных помещений,16000,23000,SJ,/vakansii/uborschik-ofisnyh-pomeschenij-32457321.html
18,Уборщик служебных помещений,,,SJ,/vakansii/uborschik-sluzhebnyh-pomeschenij-31378273.html
19,Уборщик служебных помещений,30000,нет информации,SJ,/vakansii/uborschik-sluzhebnyh-pomeschenij-32521110.html
20,Уборщик помещений,25000,30000,SJ,/vakansii/uborschik-pomeschenij-32579598.html
21,Уборщик,17000,40000,SJ,/vakansii/uborschik-32441162.html
22,Уборщик служебных помещений,15660,нет информации,SJ,/vakansii/uborschik-sluzhebnyh-pomeschenij-31299311.html
23,Уборщик,25000,нет информации,SJ,/vakansii/uborschik-30716942.html
24,Уборщик фастфуда,40000,нет информации,SJ,/vakansii/uborschik-fastfuda-31435490.html
25,Уборщик помещений,27000,нет информации,SJ,/vakansii/uborschik-pomeschenij-32103690.html
26,Уборщик / Уборщица (м. Ленинский пр-т),15660,нет информации,SJ,/vakansii/uborschik-31915933.html
27,Мобильный уборщик,33000,37000,SJ,/vakansii/mobilnyj-uborschik-32398832.html
28,Уборщица / Уборщик депо метрополитена,23000,нет информации,SJ,/vakansii/uborschica-32259946.html
29,Мойщик-уборщик / Мойщица-уброщица (м. Гражданский проспект),28000,нет информации,SJ,/vakansii/mojschik-uborschik-32002115.html
30,Уборщик помещений (г. Кронштадт),15000,нет информации,SJ,/vakansii/uborschik-pomeschenij-32578823.html
31,Уборщик территории,25000,нет информации,SJ,/vakansii/uborschik-territorii-32521476.html
